response_id,chamber_id,question_id,selected_option_ids
JPN_low_0001,JPN_low,Q1.1,O0001
JPN_low_0002,JPN_low,Q1.2,O0005
JPN_low_0003,JPN_low,Q2.1,O0007
JPN_low_0004,JPN_low,Q2.2,O0010
JPN_low_0005,JPN_low,Q3.1,O0014
JPN_low_0006,JPN_low,Q3.2,O0016
JPN_low_0007,JPN_low,Q4.1,O0019
JPN_low_0008,JPN_low,Q4.2,O0023
JPN_low_0009,JPN_low,Q5.1,O0025
JPN_low_0010,JPN_low,Q5.2,O0028
JPN_low_0011,JPN_low,Q6.1,O0032
JPN_low_0012,JPN_low,Q6.2,O0034
JPN_low_0013,JPN_low,Q7.1,O0038
JPN_low_0014,JPN_low,Q7.2,O0041
JPN_low_0015,JPN_low,Q8.1,O0043
JPN_low_0016,JPN_low,Q8.2,O0046
JPN_low_0017,JPN_low,Q9.1,O0049
JPN_low_0018,JPN_low,Q9.2,O0052
JPN_low_0019,JPN_low,Q10.1,O0055;O0056;O0057
JPN_low_0020,JPN_low,Q10.2,O0061
JPN_low_0021,JPN_low,Q10.3,O0065
JPN_low_0022,JPN_low,Q11.1,O0067
JPN_low_0023,JPN_low,Q11.2,O0073
JPN_low_0024,JPN_low,Q11.3,O0075
JPN_low_0025,JPN_low,Q12.1,O0079
JPN_low_0026,JPN_low,Q12.2,O0082
JPN_low_0027,JPN_low,Q13.1,O0085
JPN_low_0028,JPN_low,Q13.2,O0088
JPN_low_0029,JPN_low,Q14.1,O0091
JPN_low_0030,JPN_low,Q15.1,O0094
JPN_low_0031,JPN_low,Q15.2,O0099
JPN_low_0032,JPN_low,Q16.1,O0102
JPN_low_0033,JPN_low,Q16.2,O0105
JPN_low_0034,JPN_low,Q17.1,O0109
JPN_low_0035,JPN_low,Q17.2,O0111
JPN_low_0036,JPN_low,Q17.3,O0118
JPN_low_0037,JPN_low,Q18.1,O0120
JPN_low_0038,JPN_low,Q18.2,O0123
JPN_low_0039,JPN_low,Q18.3,O0128
JPN_low_0040,JPN_low,Q19.1,O0132
JPN_low_0041,JPN_low,Q20.1,O0136
JPN_low_0042,JPN_low,Q20.2,O0138
JPN_low_0043,JPN_low,Q21.1,O0143
JPN_low_0044,JPN_low,Q21.2,O0147
JPN_low_0045,JPN_low,Q22.1,O0149
JPN_low_0046,JPN_low,Q22.2,O0154
JPN_low_0047,JPN_low,Q22.3,O0157
JPN_low_0048,JPN_low,Q23.1,O0162
JPN_low_0049,JPN_low,Q23.2,O0164
JPN_low_0050,JPN_low,Q23.3,O0169
JPN_low_0051,JPN_low,Q24.1,O0173
JPN_low_0052,JPN_low,Q24.2,O0176
JPN_low_0053,JPN_low,Q25.1,O0181;O0182
JPN_low_0054,JPN_low,Q25.2,O0186
JPN_low_0055,JPN_low,Q25.3,O0191
JPN_low_0056,JPN_low,Q26.1,O0193
JPN_low_0057,JPN_low,Q26.2,O0196
JPN_low_0058,JPN_low,Q26.3,O0201
JPN_low_0059,JPN_low,Q27.1,O0205;O0206
JPN_low_0060,JPN_low,Q27.2,O0210
JPN_low_0061,JPN_low,Q28.1,O0214
JPN_low_0062,JPN_low,Q29.1,O0217;O0218;O0219
JPN_low_0063,JPN_low,Q29.2,O0224
JPN_low_0064,JPN_low,Q30.1,O0226
JPN_low_0065,JPN_low,Q30.2,O0229
JPN_low_0066,JPN_low,Q30.3,O0234
JPN_low_0067,JPN_low,Q31.1,O0237
JPN_low_0068,JPN_low,Q31.2,O0241
