chamber_id,indicator_id,country_context,supporting_evidence
MYS_up,I1,Practice varies by session; not consistently applied.,Illustrative placeholder — not independently verified.; Cross-checked with civil society monitoring reports.
MYS_up,I2,Confirmed via secondary reporting; not directly verified with the secretariat.,No public documentation found at time of assessment.; Cross-checked with civil society monitoring reports.
MYS_up,I3,Confirmed via secondary reporting; not directly verified with the secretariat.,"Cross-checked with civil society monitoring reports.; See parliament website, official publications section."
MYS_up,I4,Practice varies by session; not consistently applied.,"No public documentation found at time of assessment.; See parliament website, official publications section."
MYS_up,I5,"Available in the national language only, no official translation.",No public documentation found at time of assessment.; Cross-checked with civil society monitoring reports.
MYS_up,I6,Practice varies by session; not consistently applied.,"Illustrative placeholder — not independently verified.; See parliament website, official publications section."
MYS_up,I7,Confirmed via secondary reporting; not directly verified with the secretariat.,Illustrative placeholder — not independently verified.; Cross-checked with civil society monitoring reports.
MYS_up,I8,Practice varies by session; not consistently applied.,Cross-checked with civil society monitoring reports.
MYS_up,I9,Publicly available on the parliament's official website.,Reference: most recent annual transparency report.; No public documentation found at time of assessment.
MYS_up,I10,Practice varies by session; not consistently applied.,"See parliament website, official publications section.; Reference: most recent annual transparency report.; Illustrative placeholder — not independently verified."
MYS_up,I11,Practice varies by session; not consistently applied.,Illustrative placeholder — not independently verified.; Reference: most recent annual transparency report.
MYS_up,I12,Publicly available on the parliament's official website.,Reference: most recent annual transparency report.; No public documentation found at time of assessment.
MYS_up,I13,Publicly available on the parliament's official website.,"See parliament website, official publications section.; Cross-checked with civil society monitoring reports."
MYS_up,I14,"Available in the national language only, no official translation.",No public documentation found at time of assessment.
MYS_up,I15,"Available in the national language only, no official translation.","No public documentation found at time of assessment.; See parliament website, official publications section."
MYS_up,I16,Publicly available on the parliament's official website.,"No public documentation found at time of assessment.; See parliament website, official publications section."
MYS_up,I17,Publicly available on the parliament's official website.,"See parliament website, official publications section.; Reference: most recent annual transparency report.; Illustrative placeholder — not independently verified."
MYS_up,I18,"Provided only upon formal request, not proactively disclosed.","Illustrative placeholder — not independently verified.; See parliament website, official publications section.; No public documentation found at time of assessment."
MYS_up,I19,Publicly available on the parliament's official website.,No public documentation found at time of assessment.
MYS_up,I20,"Provided only upon formal request, not proactively disclosed.","See parliament website, official publications section.; Reference: most recent annual transparency report."
MYS_up,I21,Publicly available on the parliament's official website.,"Cross-checked with civil society monitoring reports.; See parliament website, official publications section."
MYS_up,I22,Practice varies by session; not consistently applied.,"See parliament website, official publications section.; No public documentation found at time of assessment.; Cross-checked with civil society monitoring reports."
MYS_up,I23,Confirmed via secondary reporting; not directly verified with the secretariat.,"See parliament website, official publications section.; Reference: most recent annual transparency report."
MYS_up,I24,Practice varies by session; not consistently applied.,Reference: most recent annual transparency report.; Illustrative placeholder — not independently verified.
MYS_up,I25,Publicly available on the parliament's official website.,"See parliament website, official publications section.; Illustrative placeholder — not independently verified.; No public documentation found at time of assessment."
MYS_up,I26,Publicly available on the parliament's official website.,"Illustrative placeholder — not independently verified.; See parliament website, official publications section."
MYS_up,I27,Publicly available on the parliament's official website.,"See parliament website, official publications section.; Reference: most recent annual transparency report."
MYS_up,I28,Publicly available on the parliament's official website.,No public documentation found at time of assessment.
MYS_up,I29,Publicly available on the parliament's official website.,Reference: most recent annual transparency report.; Cross-checked with civil society monitoring reports.
MYS_up,I30,"Provided only upon formal request, not proactively disclosed.",Cross-checked with civil society monitoring reports.
MYS_up,I31,"Available in the national language only, no official translation.",Illustrative placeholder — not independently verified.
