response_id,chamber_id,question_id,selected_option_ids
THA_low_001,THA_low,Q1.1,O0001
THA_low_002,THA_low,Q1.2,O0005
THA_low_003,THA_low,Q2.1,O0009
THA_low_004,THA_low,Q2.2,O0012
THA_low_005,THA_low,Q3.1,O0013
THA_low_006,THA_low,Q3.2,O0017
THA_low_007,THA_low,Q4.1,O0019
THA_low_008,THA_low,Q4.2,O0024
THA_low_009,THA_low,Q5.1,O0025
THA_low_010,THA_low,Q5.2,O0028
THA_low_011,THA_low,Q6.1,O0033
THA_low_012,THA_low,Q6.2,O0035
THA_low_013,THA_low,Q7.1,O0037
THA_low_014,THA_low,Q7.2,O0041
THA_low_015,THA_low,Q8.1,O0044
THA_low_016,THA_low,Q8.2,O0048
THA_low_017,THA_low,Q9.1,O0050
THA_low_018,THA_low,Q9.2,O0053
THA_low_019,THA_low,Q10.1,O0055
THA_low_020,THA_low,Q10.2,O0060
THA_low_021,THA_low,Q10.3,O0065
THA_low_022,THA_low,Q11.1,O0071
THA_low_023,THA_low,Q11.2,O0074
THA_low_024,THA_low,Q11.3,O0078
THA_low_025,THA_low,Q12.1,O0080
THA_low_026,THA_low,Q12.2,O0083
THA_low_027,THA_low,Q13.1,O0086
THA_low_028,THA_low,Q13.2,O0089
THA_low_029,THA_low,Q14.1,O0092
THA_low_030,THA_low,Q15.1,O0094
THA_low_031,THA_low,Q15.2,O0098
THA_low_032,THA_low,Q16.1,O0102
THA_low_033,THA_low,Q16.2,O0105
THA_low_034,THA_low,Q17.1,O0109
THA_low_035,THA_low,Q17.2,O0114
THA_low_036,THA_low,Q17.3,O0118
THA_low_037,THA_low,Q18.1,O0120
THA_low_038,THA_low,Q18.2,O0126
THA_low_039,THA_low,Q18.3,O0130
THA_low_040,THA_low,Q19.1,O0133
THA_low_041,THA_low,Q20.1,O0136
THA_low_042,THA_low,Q20.2,O0138
THA_low_043,THA_low,Q21.1,O0145
THA_low_044,THA_low,Q21.2,O0148
THA_low_045,THA_low,Q22.1,O0151
THA_low_046,THA_low,Q22.2,O0156
THA_low_047,THA_low,Q22.3,O0160
THA_low_048,THA_low,Q23.1,O0162
THA_low_049,THA_low,Q23.2,O0167
THA_low_050,THA_low,Q23.3,O0171
THA_low_051,THA_low,Q24.1,O0173
THA_low_052,THA_low,Q24.2,O0176
THA_low_053,THA_low,Q25.1,O0181;O0182;O0183;O0184
THA_low_054,THA_low,Q25.2,O0188
THA_low_055,THA_low,Q25.3,O0190
THA_low_056,THA_low,Q26.1,O0194
THA_low_057,THA_low,Q26.2,O0197
THA_low_058,THA_low,Q26.3,O0203
THA_low_059,THA_low,Q27.1,O0205;O0206;O0207;O0208
THA_low_060,THA_low,Q27.2,O0210
THA_low_061,THA_low,Q28.1,O0216
THA_low_062,THA_low,Q29.1,O0217;O0218;O0219;O0220;O0221
THA_low_063,THA_low,Q29.2,O0223
THA_low_064,THA_low,Q30.1,O0226
THA_low_065,THA_low,Q30.2,O0231
THA_low_066,THA_low,Q30.3,O0234
THA_low_067,THA_low,Q31.1,O0237
THA_low_068,THA_low,Q31.2,O0240
