chamber_id,indicator_id,country_context,supporting_evidence
PHL_low,I1,Practice varies by session; not consistently applied.,"Illustrative placeholder — not independently verified.; See parliament website, official publications section."
PHL_low,I2,Confirmed via secondary reporting; not directly verified with the secretariat.,Cross-checked with civil society monitoring reports.
PHL_low,I3,"Available in the national language only, no official translation.",Cross-checked with civil society monitoring reports.; Reference: most recent annual transparency report.
PHL_low,I4,Publicly available on the parliament's official website.,Cross-checked with civil society monitoring reports.
PHL_low,I5,Confirmed via secondary reporting; not directly verified with the secretariat.,"Reference: most recent annual transparency report.; See parliament website, official publications section."
PHL_low,I6,Publicly available on the parliament's official website.,Reference: most recent annual transparency report.; No public documentation found at time of assessment.
PHL_low,I7,Practice varies by session; not consistently applied.,Reference: most recent annual transparency report.
PHL_low,I8,"Available in the national language only, no official translation.",No public documentation found at time of assessment.; Reference: most recent annual transparency report.
PHL_low,I9,"Available in the national language only, no official translation.",Reference: most recent annual transparency report.; No public documentation found at time of assessment.
PHL_low,I10,"Available in the national language only, no official translation.",Reference: most recent annual transparency report.; No public documentation found at time of assessment.
PHL_low,I11,"Available in the national language only, no official translation.","See parliament website, official publications section.; Reference: most recent annual transparency report.; No public documentation found at time of assessment."
PHL_low,I12,"Available in the national language only, no official translation.","Illustrative placeholder — not independently verified.; See parliament website, official publications section."
PHL_low,I13,"Provided only upon formal request, not proactively disclosed.",Cross-checked with civil society monitoring reports.; Reference: most recent annual transparency report.
PHL_low,I14,Confirmed via secondary reporting; not directly verified with the secretariat.,Reference: most recent annual transparency report.
PHL_low,I15,"Provided only upon formal request, not proactively disclosed.",No public documentation found at time of assessment.
PHL_low,I16,Practice varies by session; not consistently applied.,"See parliament website, official publications section."
PHL_low,I17,Practice varies by session; not consistently applied.,Cross-checked with civil society monitoring reports.; Illustrative placeholder — not independently verified.; No public documentation found at time of assessment.
PHL_low,I18,Practice varies by session; not consistently applied.,"See parliament website, official publications section.; Cross-checked with civil society monitoring reports.; No public documentation found at time of assessment."
PHL_low,I19,Publicly available on the parliament's official website.,Illustrative placeholder — not independently verified.
PHL_low,I20,Publicly available on the parliament's official website.,"No public documentation found at time of assessment.; See parliament website, official publications section."
PHL_low,I21,"Provided only upon formal request, not proactively disclosed.","Cross-checked with civil society monitoring reports.; See parliament website, official publications section."
PHL_low,I22,Confirmed via secondary reporting; not directly verified with the secretariat.,Illustrative placeholder — not independently verified.; Reference: most recent annual transparency report.; Cross-checked with civil society monitoring reports.
PHL_low,I23,Practice varies by session; not consistently applied.,Reference: most recent annual transparency report.; No public documentation found at time of assessment.
PHL_low,I24,"Provided only upon formal request, not proactively disclosed.",Cross-checked with civil society monitoring reports.
PHL_low,I25,Publicly available on the parliament's official website.,"Cross-checked with civil society monitoring reports.; No public documentation found at time of assessment.; See parliament website, official publications section."
PHL_low,I26,"Provided only upon formal request, not proactively disclosed.","Cross-checked with civil society monitoring reports.; See parliament website, official publications section.; Reference: most recent annual transparency report."
PHL_low,I27,"Provided only upon formal request, not proactively disclosed.","Illustrative placeholder — not independently verified.; See parliament website, official publications section."
PHL_low,I28,"Available in the national language only, no official translation.",Reference: most recent annual transparency report.
PHL_low,I29,Practice varies by session; not consistently applied.,No public documentation found at time of assessment.
PHL_low,I30,"Provided only upon formal request, not proactively disclosed.","See parliament website, official publications section.; Illustrative placeholder — not independently verified."
PHL_low,I31,Practice varies by session; not consistently applied.,No public documentation found at time of assessment.; Reference: most recent annual transparency report.
