dimension,relevance,indicator,question_id,question_text,answer_type,max_score,answer_options
Accountability,Supporting integrity of MPs,Code of conduct for MPs,Q1.1,Does a formal code of conduct exist to regulate the ethics and behavior of Members of Parliament?,single,1,"a) Yes, codified in law or standing orders [1.0] | b) Yes, but exists only as a non-binding guideline [0.5] | c) No, no such code exists [0.0]"
Accountability,Supporting integrity of MPs,Code of conduct for MPs,Q1.2,To what extent are the provisions of the code of conduct effectively implemented and applied in practice for Members of Parliament?,single,1,a) Fully operational as behaviour and sanctions are clear and can be applied when required [1.0] | b) Partially operational as behaviour or sanctions are not clearly stated [0.5] | c) Not operational as behaviour nor sanctions are stated [0.0]
Accountability,Supporting integrity of MPs,Conflicts of interest of MPs,Q2.1,Is disclosure of conflicts of interest of MPs ensured by law?,single,1,"a) Yes, guaranteed by law [1.0] | b) Yes, established by convention or internal custom [0.5] | c) No, not required to disclose either by law or custom [0.0]"
Accountability,Supporting integrity of MPs,Conflicts of interest of MPs,Q2.2,Can conflicts of interest of MPs be accessed by the public?,single,1,a) Completely accessible without the need for a request [1.0] | b) Accessible only upon request and/or with limited information available [0.5] | c) Not accessible to the public [0.0]
Accountability,Supporting integrity of MPs,Asset and liability disclosure of MPs,Q3.1,Is disclosure of assets and liabilities of Members of Parliament mandated by law?,single,1,"a) Yes, guaranteed by law [1.0] | b) Yes, established by convention or internal custom [0.5] | c) No, not required to disclose either by law or custom [0.0]"
Accountability,Supporting integrity of MPs,Asset and liability disclosure of MPs,Q3.2,Are asset and liability declarations of Members of Parliament publicly accessible?,single,1,a) Completely accessible without the need for a request [1.0] | b) Accessible only upon request and/or with limited information available [0.5] | c) Not accessible to the public [0.0]
Accountability,Upholding citizen's ability to hold Parliament accountable,Formal channel for public queries,Q4.1,Does Parliament provide formal and systematic channels for the public to raise queries to Parliament or MPs?,single,1,"a) Yes, formal system exists [1.0] | b) Yes, can raise queries but no formal system exists [0.5] | c) No, not available [0.0]"
Accountability,Upholding citizen's ability to hold Parliament accountable,Formal channel for public queries,Q4.2,Does Parliament track and publicly report on the status of above public queries raised to Parliament or MPs?,single,1,"a) Tracking exists and reports are publicly available [1.0] | b) Tracking exists, but public reporting does not exist [0.5] | c) Tracking or reporting does not exist [0.0]"
Accountability,Creating accountability for legislation,Pre-legislative scrutiny of bills,Q5.1,Is there scrutiny of bills before plenary deliberation by Parliament to assess viability?,single,1,"a) Mandatory [1.0] | b) Not mandatory, but commonly practised [0.5] | c) Not practised [0.0]"
Accountability,Creating accountability for legislation,Pre-legislative scrutiny of bills,Q5.2,How consistently are bills subject to scrutiny prior to plenary deliberation by Parliament?,single,1,a) All bills undergo scrutiny [1.0] | b) Scrutiny occurs inconsistently or selectively [0.25] | c) Scrutiny is absent [0.0]
Accountability,Creating accountability for legislation,Post-legislative scrutiny of laws,Q6.1,Is there post-legislative scrutiny of laws by Parliament to assess effectiveness after enactment?,single,1,"a) Mandatory [1.0] | b) Not mandatory, but applied selectively or occasionally [0.5] | c) Not practised [0.0]"
