chamber_id,indicator_id,country_context,supporting_evidence
JPN_low,I1,Practice varies by session; not consistently applied.,"See parliament website, official publications section.; No public documentation found at time of assessment."
JPN_low,I2,Practice varies by session; not consistently applied.,Reference: most recent annual transparency report.; No public documentation found at time of assessment.
JPN_low,I3,"Available in the national language only, no official translation.","No public documentation found at time of assessment.; See parliament website, official publications section."
JPN_low,I4,"Provided only upon formal request, not proactively disclosed.",No public documentation found at time of assessment.; Cross-checked with civil society monitoring reports.
JPN_low,I5,Confirmed via secondary reporting; not directly verified with the secretariat.,"See parliament website, official publications section.; Illustrative placeholder — not independently verified."
JPN_low,I6,Practice varies by session; not consistently applied.,Illustrative placeholder — not independently verified.
JPN_low,I7,Practice varies by session; not consistently applied.,Illustrative placeholder — not independently verified.; Reference: most recent annual transparency report.
JPN_low,I8,"Available in the national language only, no official translation.",No public documentation found at time of assessment.; Reference: most recent annual transparency report.
JPN_low,I9,"Available in the national language only, no official translation.",Cross-checked with civil society monitoring reports.; Reference: most recent annual transparency report.
JPN_low,I10,Practice varies by session; not consistently applied.,"Illustrative placeholder — not independently verified.; See parliament website, official publications section."
JPN_low,I11,Publicly available on the parliament's official website.,"No public documentation found at time of assessment.; Reference: most recent annual transparency report.; See parliament website, official publications section."
JPN_low,I12,Confirmed via secondary reporting; not directly verified with the secretariat.,No public documentation found at time of assessment.
JPN_low,I13,Confirmed via secondary reporting; not directly verified with the secretariat.,"Reference: most recent annual transparency report.; See parliament website, official publications section."
JPN_low,I14,"Provided only upon formal request, not proactively disclosed.","See parliament website, official publications section."
JPN_low,I15,"Provided only upon formal request, not proactively disclosed.",No public documentation found at time of assessment.; Cross-checked with civil society monitoring reports.
JPN_low,I16,Confirmed via secondary reporting; not directly verified with the secretariat.,"No public documentation found at time of assessment.; See parliament website, official publications section."
JPN_low,I17,"Available in the national language only, no official translation.",Reference: most recent annual transparency report.
JPN_low,I18,"Provided only upon formal request, not proactively disclosed.","Cross-checked with civil society monitoring reports.; Reference: most recent annual transparency report.; See parliament website, official publications section."
JPN_low,I19,Confirmed via secondary reporting; not directly verified with the secretariat.,Illustrative placeholder — not independently verified.
JPN_low,I20,"Provided only upon formal request, not proactively disclosed.",Cross-checked with civil society monitoring reports.; Illustrative placeholder — not independently verified.
JPN_low,I21,Practice varies by session; not consistently applied.,"See parliament website, official publications section.; Cross-checked with civil society monitoring reports."
JPN_low,I22,"Provided only upon formal request, not proactively disclosed.","Reference: most recent annual transparency report.; Cross-checked with civil society monitoring reports.; See parliament website, official publications section."
JPN_low,I23,"Available in the national language only, no official translation.","No public documentation found at time of assessment.; See parliament website, official publications section.; Reference: most recent annual transparency report."
JPN_low,I24,"Provided only upon formal request, not proactively disclosed.",Reference: most recent annual transparency report.
JPN_low,I25,Confirmed via secondary reporting; not directly verified with the secretariat.,"Illustrative placeholder — not independently verified.; See parliament website, official publications section.; No public documentation found at time of assessment."
JPN_low,I26,Publicly available on the parliament's official website.,No public documentation found at time of assessment.; Cross-checked with civil society monitoring reports.
JPN_low,I27,Practice varies by session; not consistently applied.,"See parliament website, official publications section.; Reference: most recent annual transparency report."
JPN_low,I28,"Provided only upon formal request, not proactively disclosed.","See parliament website, official publications section."
JPN_low,I29,Publicly available on the parliament's official website.,Cross-checked with civil society monitoring reports.; Reference: most recent annual transparency report.
JPN_low,I30,Publicly available on the parliament's official website.,"Reference: most recent annual transparency report.; Illustrative placeholder — not independently verified.; See parliament website, official publications section."
JPN_low,I31,"Available in the national language only, no official translation.",Reference: most recent annual transparency report.
