question_id,indicator_id,question_no,question_text,answer_type,max_score
Q1.1,I1,1.1,Does a formal code of conduct exist to regulate the ethics and behavior of Members of Parliament?,single,1
Q1.2,I1,1.2,To what extent are the provisions of the code of conduct effectively implemented and applied in practice for Members of Parliament?,single,1
Q2.1,I2,2.1,Is disclosure of conflicts of interest of MPs ensured by law?,single,1
Q2.2,I2,2.2,Can conflicts of interest of MPs be accessed by the public?,single,1
Q3.1,I3,3.1,Is disclosure of assets and liabilities of Members of Parliament mandated by law?,single,1
Q3.2,I3,3.2,Are asset and liability declarations of Members of Parliament publicly accessible?,single,1
Q4.1,I4,4.1,Does Parliament provide formal and systematic channels for the public to raise queries to Parliament or MPs?,single,1
Q4.2,I4,4.2,Does Parliament track and publicly report on the status of above public queries raised to Parliament or MPs?,single,1
Q5.1,I5,5.1,Is there scrutiny of bills before plenary deliberation by Parliament to assess viability?,single,1
Q5.2,I5,5.2,How consistently are bills subject to scrutiny prior to plenary deliberation by Parliament?,single,1
Q6.1,I6,6.1,Is there post-legislative scrutiny of laws by Parliament to assess effectiveness after enactment?,single,1
Q6.2,I6,6.2,How consistently are laws subject to post-legislative scrutiny by Parliament after enactment?,single,1
Q7.1,I7,7.1,"Is there regular public consultation for proposals or feedback on bills during the drafting stage, prior to formal introduction in Parliament?",single,1
Q7.2,I7,7.2,"Is information provided on how public feedback given during the drafting of bills, prior to formal introduction in Parliament, is considered?",single,1
Q8.1,I8,8.1,Is there regular public consultation for proposals or feedback on bills during parliamentary review or committee stages?,single,1
Q8.2,I8,8.2,Is information provided on how public feedback given during the parliamentary review or committee stages of a bill is considered?,single,1
Q9.1,I9,9.1,Is the public formally able to provide feedback on enacted laws to inform review or amendment?,single,1
Q9.2,I9,9.2,"Is information provided on how public feedback given post-enactment of a law, is considered?",single,1
Q10.1,I10,10.1,Is the following information about Members of Parliament publicly made available by Parliament? [Select all that apply],multiple,1
Q10.2,I10,10.2,"Is each of the categories selected above available for all MPs, or only some?",single,1
Q10.3,I10,10.3,In what format does Parliament publish the above information about Members of Parliament?,single,1
Q11.1,I11,11.1,Is the following information about staff of Members of Parliament publicly made available by Parliament? [Select all that apply],single,1
Q11.2,I11,11.2,"Is each of the categories of information selected above available for all staff of Members of Parliament, or only some?",single,1
Q11.3,I11,11.3,In what format does Parliament publish the above information on staff of Members of Parliament?,single,1
Q12.1,I12,12.1,Does Parliament have facilities to ensure physical accessibility for persons with disabilities within the parliamentary buildings?,single,1
Q12.2,I12,12.2,Is physical accessibility infrastructure for persons with disabilities available across parliamentary buildings?,single,1
Q13.1,I13,13.1,Does the official Parliament website adhere to the AAA standard of the Web Content Accessibility Guidelines to make its content accessible for persons with disabilities?,single,1
Q13.2,I13,13.2,To what extent is the AAA standard of the Web Content Accessibility Guidelines applied across content on the official Parliament website?,single,1
Q14.1,I14,14.1,Are plenary sessions physically open to the public?,single,1
Q15.1,I15,15.1,Does Parliament publish detailed agendas for plenary sessions to enable meaningful preparation?,single,1
Q15.2,I15,15.2,How far in advance is the agenda of plenary sessions published?,single,1
Q16.1,I16,16.1,Are recordings of plenary sessions published by Parliament?,single,1
Q16.2,I16,16.2,How soon are recordings of plenary sessions published by Parliament?,single,1
Q17.1,I17,17.1,Are verbatim official records of plenary sessions published by Parliament?,single,1
Q17.2,I17,17.2,How soon are corrected verbatim official records of plenary sessions published by Parliament?,single,1
Q17.3,I17,17.3,In what format does Parliament publish plenary session transcripts?,single,1
Q18.1,I18,18.1,Are the attendees of daily plenary sessions published by Parliament?,single,1
Q18.2,I18,18.2,How soon are daily attendance lists of Members of Parliament for plenary sessions made publicly available?,single,1
Q18.3,I18,18.3,In what format does Parliament publish attendance lists of Members of Parliament for plenary sessions?,single,1
Q19.1,I19,19.1,Are Parliament committee meetings physically open to the public?,single,1
Q20.1,I20,20.1,Does Parliament publish the agendas of all committee meetings to allow meaningful preparation?,single,1
Q20.2,I20,20.2,How far in advance is the agenda of committee meetings published?,single,1
Q21.1,I21,21.1,Are recordings of committee meetings published by Parliament?,single,1
Q21.2,I21,21.2,How soon are recordings of committee meetings published by Parliament?,single,1
Q22.1,I22,22.1,Are transcripts of committee meetings published by Parliament?,single,1
Q22.2,I22,22.2,How soon are transcripts of committee meetings published by Parliament?,single,1
Q22.3,I22,22.3,In what format does Parliament publish committee meeting transcripts?,single,1
Q23.1,I23,23.1,Are attendees of committee meetings published by Parliament?,single,1
Q23.2,I23,23.2,How soon are attendance lists of Members of Parliament for committee meetings made publicly available?,single,1
Q23.3,I23,23.3,In what format does Parliament publish attendance lists of Members of Parliament for committee meetings?,single,1
Q24.1,I24,24.1,Are draft bills published by Parliament before plenary deliberation?,single,1
Q24.2,I24,24.2,How far in advance to plenary deliberation in Parliament are draft bills published?,single,1
Q25.1,I25,25.1,Does Parliament publish the following details for bills that are under consideration? [Select all that apply],multiple,1
Q25.2,I25,25.2,In what format does Parliament publish the above timeline details of a bill?,single,1
Q25.3,I25,25.3,Are amendments to bills made publicly available as they are discussed?,single,1
Q26.1,I26,26.1,Are voting breakdowns showing how each Member of Parliament voted for all business published by Parliament?,single,1
Q26.2,I26,26.2,How soon are above voting records made publicly available by Parliament?,single,1
Q26.3,I26,26.3,In what format are above voting records published by Parliament?,single,1
Q27.1,I27,27.1,Does Parliament publish the following details tied to salaries and benefits received per Member of Parliament? [Select all that apply],multiple,1
Q27.2,I27,27.2,Does Parliament publish detailed annual reports of actual spending on salaries and benefits of Members of Parliament?,single,1
