option_id,question_id,option_letter,label,score,is_na
O0001,Q1.1,a,"Yes, codified in law or standing orders",1.0,False
O0002,Q1.1,b,"Yes, but exists only as a non-binding guideline",0.5,False
O0003,Q1.1,c,"No, no such code exists",0.0,False
O0004,Q1.2,a,Fully operational as behaviour and sanctions are clear and can be applied when required,1.0,False
O0005,Q1.2,b,Partially operational as behaviour or sanctions are not clearly stated,0.5,False
O0006,Q1.2,c,Not operational as behaviour nor sanctions are stated,0.0,False
O0007,Q2.1,a,"Yes, guaranteed by law",1.0,False
O0008,Q2.1,b,"Yes, established by convention or internal custom",0.5,False
O0009,Q2.1,c,"No, not required to disclose either by law or custom",0.0,False
O0010,Q2.2,a,Completely accessible without the need for a request,1.0,False
O0011,Q2.2,b,Accessible only upon request and/or with limited information available,0.5,False
O0012,Q2.2,c,Not accessible to the public,0.0,False
O0013,Q3.1,a,"Yes, guaranteed by law",1.0,False
O0014,Q3.1,b,"Yes, established by convention or internal custom",0.5,False
O0015,Q3.1,c,"No, not required to disclose either by law or custom",0.0,False
O0016,Q3.2,a,Completely accessible without the need for a request,1.0,False
O0017,Q3.2,b,Accessible only upon request and/or with limited information available,0.5,False
O0018,Q3.2,c,Not accessible to the public,0.0,False
O0019,Q4.1,a,"Yes, formal system exists",1.0,False
O0020,Q4.1,b,"Yes, can raise queries but no formal system exists",0.5,False
O0021,Q4.1,c,"No, not available",0.0,False
O0022,Q4.2,a,Tracking exists and reports are publicly available,1.0,False
O0023,Q4.2,b,"Tracking exists, but public reporting does not exist",0.5,False
O0024,Q4.2,c,Tracking or reporting does not exist,0.0,False
O0025,Q5.1,a,Mandatory,1.0,False
O0026,Q5.1,b,"Not mandatory, but commonly practised",0.5,False
O0027,Q5.1,c,Not practised,0.0,False
O0028,Q5.2,a,All bills undergo scrutiny,1.0,False
O0029,Q5.2,b,Scrutiny occurs inconsistently or selectively,0.25,False
O0030,Q5.2,c,Scrutiny is absent,0.0,False
O0031,Q6.1,a,Mandatory,1.0,False
O0032,Q6.1,b,"Not mandatory, but applied selectively or occasionally",0.5,False
O0033,Q6.1,c,Not practised,0.0,False
O0034,Q6.2,a,Majority of substantive laws undergo scrutiny,1.0,False
O0035,Q6.2,b,Scrutiny occurs inconsistently or selectively,0.5,False
O0036,Q6.2,c,Scrutiny is absent,0.0,False
O0037,Q7.1,a,The public is openly invited to provide feedback on most or all draft bills,1.0,False
