country,chamber,chamber_type,dimension,indicator,question_id,question_text,selected_answer,score,max_score,country_context,supporting_evidence
Thailand,House of Representatives,lower,Accountability,Code of conduct for MPs,Q1.1,Does a formal code of conduct exist to regulate the ethics and behavior of Members of Parliament?,"Yes, codified in law or standing orders",1.0,1,"[formal parliamentary procedures] 
Laws and regulations governing the ethics of Thai parliamentarians consist of several different regulations–including internal parliamentary regulations such as Regulations on the Code of Ethics for Members of the House of Representatives and Committees, B.E. 2563 (2020), 
Regulations on the Code of Ethics for Members of the House of Representatives and Committees, B.E. 2553 (2010), Regulations on the Code of Ethics for Members of the Senate and Committees, B.E. 2563 (2020), Regulations on the Code of Ethics for Members of the National Legislative Assembly and Committees, B.E. 2558 (2015)
 and regulations issued by other independent organisations such as Ethical Standards of the Constitution Court Judges and Holders of Positions in Independent Agencies, the State Audit Office Auditor-General, and Heads of Constitutional Court and Independent Agency Administrative Units, B.E. 2561
 
[actual parliamentary practice]
Thai MPs are punished more severely and extensively under the ethical standards of independent organizations rather than under parliamentary regulations, as parliamentary regulations are often perceived as a form of internal review or broad meeting etiquettes, which in practice remains rarely punitive. In contrast, standards enforced by independent  organizations are used as the primary tool for removing politicians from the system.","Source 1: ข้อบังคับการประชุมรัฐสภา พ.ศ. ๒๕๖๓ 
Source 2 : มาตรฐานทางจริยธรรมของ ตุลาการศาลรัฐธรรมนูญ และผู้ดํารงตําแหน่งในองค์กรอิสระ รวมทั้งผู้ว่าการตรวจเงินแผ่นดิน และหัวหน้าหน่วยงานธุรการของศาลรัฐธรรมนูญและองค์กรอิสระ พ.ศ. ๒๕๖๑ "
Thailand,House of Representatives,lower,Accountability,Code of conduct for MPs,Q1.2,To what extent are the provisions of the code of conduct effectively implemented and applied in practice for Members of Parliament?,Partially operational as behaviour or sanctions are not clearly stated,0.5,1,"[formal parliamentary procedures] 
Laws and regulations governing the ethics of Thai parliamentarians consist of several different regulations–including internal parliamentary regulations such as Regulations on the Code of Ethics for Members of the House of Representatives and Committees, B.E. 2563 (2020), 
Regulations on the Code of Ethics for Members of the House of Representatives and Committees, B.E. 2553 (2010), Regulations on the Code of Ethics for Members of the Senate and Committees, B.E. 2563 (2020), Regulations on the Code of Ethics for Members of the National Legislative Assembly and Committees, B.E. 2558 (2015)
 and regulations issued by other independent organisations such as Ethical Standards of the Constitution Court Judges and Holders of Positions in Independent Agencies, the State Audit Office Auditor-General, and Heads of Constitutional Court and Independent Agency Administrative Units, B.E. 2561
 
[actual parliamentary practice]
Thai MPs are punished more severely and extensively under the ethical standards of independent organizations rather than under parliamentary regulations, as parliamentary regulations are often perceived as a form of internal review or broad meeting etiquettes, which in practice remains rarely punitive. In contrast, standards enforced by independent  organizations are used as the primary tool for removing politicians from the system.",
Thailand,House of Representatives,lower,Accountability,Conflicts of interest of MPs,Q2.1,Is disclosure of conflicts of interest of MPs ensured by law?,"No, not required to disclose either by law or custom",0.0,1,"[formal parliamentary procedures], while conflict of interest is illegal per Article 184 and 185 of the 2017 Constitution of Thailand and Article 8 and 9 of 2020 Parliamentary Procedure Regulations, the information besides assets upon taking and leaving office is not disclosed to the public.",
Thailand,House of Representatives,lower,Accountability,Conflicts of interest of MPs,Q2.2,Can conflicts of interest of MPs be accessed by the public?,Not accessible to the public,0.0,1,"[formal parliamentary procedures], while conflict of interest is illegal per Article 184 and 185 of the 2017 Constitution of Thailand and Article 8 and 9 of 2020 Parliamentary Procedure Regulations, the information besides assets upon taking and leaving office is not disclosed to the public.",
Thailand,House of Representatives,lower,Accountability,Asset and liability disclosure of MPs,Q3.1,Is disclosure of assets and liabilities of Members of Parliament mandated by law?,"Yes, guaranteed by law",1.0,1,"[formal parliamentary procedures] 
- Regulations by the Office of the Nation Anti-Corruption Commission's [an independent external organisation that does not report to the parliament] require MPs, their spouses, and minor children to disclose their assets twice throughout their terms: once upon taking office and once on leaving office. Changes to assets are not immediately disclosed during their terms.
- While the information on the assets is disclosed at the NACC office, it is only published online for only one year,  and therefore not accessible by the general public after the first year unless a request is filed at the NACC.",Source 1: https://asset.nacc.go.th/dcs-app/ ระบบเปิดเผยบัญชีทรัพย์สินและหนี้สิน (DCS)
Thailand,House of Representatives,lower,Accountability,Asset and liability disclosure of MPs,Q3.2,Are asset and liability declarations of Members of Parliament publicly accessible?,Accessible only upon request and/or with limited information available,0.5,1,"[formal parliamentary procedures] 
- Regulations by the Office of the Nation Anti-Corruption Commission's [an independent external organisation that does not report to the parliament] require MPs, their spouses, and minor children to disclose their assets twice throughout their terms: once upon taking office and once on leaving office. Changes to assets are not immediately disclosed during their terms.
- While the information on the assets is disclosed at the NACC office, it is only published online for only one year,  and therefore not accessible by the general public after the first year unless a request is filed at the NACC.",
Thailand,House of Representatives,lower,Accountability,Formal channel for public queries,Q4.1,Does Parliament provide formal and systematic channels for the public to raise queries to Parliament or MPs?,"Yes, formal system exists",1.0,1,"[formal parliamentary procedures] 
there are channels to contact parliamentary support units for complaints and queries via their numbers, e-portals, and emails, but there isn't any measure instilled to ensure whether or how the queries will be handled.

Contact information for individual MPs is not provided.",Source 1: สำนักงานเลขาธิการสภาผู้แทนราษฎร 
Thailand,House of Representatives,lower,Accountability,Formal channel for public queries,Q4.2,Does Parliament track and publicly report on the status of above public queries raised to Parliament or MPs?,Tracking or reporting does not exist,0.0,1,,
Thailand,House of Representatives,lower,Accountability,Pre-legislative scrutiny of bills,Q5.1,Is there scrutiny of bills before plenary deliberation by Parliament to assess viability?,Mandatory,1.0,1,Pre-scrutiny is mandatory and conducted by parliamentary support units.,"Source 1: https://www.parliament.go.th/view/10/authority_and_responsibilities/TH-TH 
Source 2: https://www.parliament.go.th/view/9/อำนาจหน้าที่_วิสัยทัศน์_พันธกิจ_ยุทธศาสตร์/TH-TH  "
Thailand,House of Representatives,lower,Accountability,Pre-legislative scrutiny of bills,Q5.2,How consistently are bills subject to scrutiny prior to plenary deliberation by Parliament?,All bills undergo scrutiny,1.0,1,Pre-scrutiny is mandatory and conducted by parliamentary support units.,
